stage,gate,acceptance_criterion,current_status,decision,evidence_file
0,Existing validation transcripts green,"Rust, TS, Python scaffold, golden vectors, negative corpus all green","TS/Python/vector/formal static green; Rust not observed locally",NO-GO,"docs/local_validation_transcript.txt"
0,Release manifest SHA256 verified and signed,"SHA256 verified plus detached signature and public verification command","SHA256 present; signature not attached",NO-GO,"SCC_Kernel_Fortress_MECH_10_10_checksums.sha256"
0,Docker and CI gates pass,"Clean runner transcript and artifact upload","Scripts/workflow present; clean runner not observed here",NO-GO,".github/workflows/ci.yml"
0,NeurIPS package ready,"PDF/checklist/supplement zip anonymized and present","Ready",GO,"paper/main.pdf"
0,Public repo initialized,"CC-BY-SA-4.0 LICENSE, README, Verify in 5 Minutes command","Package docs present; public repo not verified here",NO-GO,"README.md"
1,Rust checker impeccable,"fmt, clippy -D warnings, full tests, coverage report","Gate script supplied; not observed here",NO-GO,"scripts/run_release_gates.sh"
1,Negative corpus >= 30,"At least 30 negative fixtures with first-failure gate and canon article","Current package has 14 negative fixtures",NO-GO,"negative_corpus/manifest.json"
1,Golden vectors >= 8,"At least 8 golden vectors: Exact, Stutter x2, SafeRefined x2, governance update, recovery, memory compression, long stutter chain","Current package has 3 golden vectors",NO-GO,"golden/manifest.json"
1,Differential testing,"Rust == TS == Python on every fixture and named gate","Not fully implemented/observed",NO-GO,"ci_evidence/differential_matrix.json"
1,Proptest and fuzz >= 1h,"One hour zero failures with seed log","Targets supplied; run not observed",NO-GO,"ci_evidence/fuzz_1h.log"
1,TCB ledger,"Every crate/version justified plus replacement plan","Present; needs release review",PARTIAL,"docs/tcb_ledger.md"
1,STRIDE security review,"Complete threat model and mitigation matrix","Add required document",NO-GO,"docs/stride_security_review.md"
1,Documentation,"One-pager, interactive TS demo, 3 minute reviewer quickstart video","One-pager present; demo/video not yet attached",PARTIAL,"docs/SCC_SYSTEM_OVERVIEW_ONE_PAGER.md"
1,CI publishes artifacts on tag,"Tag workflow uploads release bundle and evidence","Release workflow added in orbital pack",PARTIAL,".github/workflows/release.yml"
2,Lean 4 mechanization,"Checker soundness, PO bundle reflection, Step Simulation Law >= 70 percent critical path","Static bridge present; executable proof run not observed",PARTIAL,"formal/"
2,Prusti/Kani verification,"Partial Rust checker core verification","Planned",NO-GO,"formal/rust-contracts/"
2,Numerical stability report,"Error bounds for simplex projection, drift, risk vectors","Present as TCB note; needs formalized bounds",PARTIAL,"docs/numerical_stability_tcb.md"
2,Federation module,"Quorum safety gates and cross-shard lineage tests","Fixtures/tests present; expand",PARTIAL,"federation/"
2,Memory compression proof,"Entropy monotonicity proof and reconstruction tests","Stress docs/tests present; proof expansion needed",PARTIAL,"docs/memory_lineage_compression_stress.md"
3,External adoption,"Multiple external teams run and certify","Not yet",NO-GO,"certification/"
4,Nightly constellation,"Continuous fuzzing, live governance, framework integrations","Not yet",NO-GO,".github/workflows/nightly.yml"
